numero,empresa,ciudades,habilidades
1,Ford Motor Company,Dearborn;Palo Alto;Detroit,python;user-experience;java;python;user-experience;java;frontend;agile-project-management;rally;agile;node.js;c++;shell;javascript;scrum;ruby;html;c#;linux;css;xml;.net;backend;c;sql;database;web-applications;git;programming;web-services;web-development-server;html5
2,HelloFresh,Berlin;Boulder;Toronto,golang;aws;javascript;golang;aws;javascript;reactjs;docker;kubernetes;apache-kafka;rabbitmq;apache-spark;kotlin;swift;python;terraform;databricks;airflow;snowflake-cloud-data-plat
3,intive,Córdoba;Villa Allende;București,javascript;python;java;javascript;python;java;php;.net;c;c#;ruby;ruby-on-rails;reactjs;react-native;node.js;angular;vue.js;amazon-web-services;azure;selenium;sql;mysql;postman;jmeter;net;.net-core;mongodb;rest;typescript;docker;kubernetes;nosql;rust;perl;go;kotlin;swift;r;jenkins;cucumber;google-cloud-platform;android;ios;embedded;c++;autosar;ethernet;aspice
4,Modus Create,Cluj-Napoca;Santa Ana;Reston,javascript;reactjs;react-native;javascript;reactjs;react-native;kubernetes;amazon-web-services;amazon-s3;css3;html5;html5-canvas;c++;linux;ubuntu;debian;redhat;terraform;vagrant;clion;c;performance;java;intellij-idea;webstorm;sublimetext3;zoom;slack;artificial-intelligence;php;laravel;bash;confluence;jira;atlassian;github;git;angular;vue.js;ionic-framework
5,SMG Swiss Marketplace Group,Beograd;Valbonne;Lausanne,vue.js;node.js;typescript;vue.js;node.js;typescript;jestjs;sass;scss;syntax;amazon-web-services;aws-lambda;amazon-s3;aws;severless;serverless;frameworks;vuex;sam;angular;reactjs;postcss;hygen;pact.js;graphql;amazon-dynamodb;gitlab-ci;gitlab;apache;airflow-scheduler;amazon-aurora;aws-aurora-serverless;aws-fargate;elasticsearch;snowflake-cloud-data-plat;snowflake-schema;snowflake-task;amazon-kinesis;amazon-kinesis-analytics;aws-glue;glue-crawler;aws-glue-data-catalog;endpoint;amazon-athena;tableau-api;tableau-desktop;amazon-eks;amazon-redshift;aws-dms;aws-lambda-edge;amazon-emr;spring-data-elasticsearch;elastic-stack;aws-appsync;postman;cypress;webpack;c#;javascript;asp.net;.net
6,Smals,Sint-Gillis;Brussel;Gent,java;javascript;.net;java;javascript;.net;php;c#;symfony;soa;windows;cisco;juniper;solaris;sql;linux;oracle;jboss;apache;postgresql;redhat;openshift;bpmn
7,Sartorius,Bangalore;Berlin;Malmö,amazon-web-services;apache-kafka;azure;amazon-web-services;apache-kafka;azure;c;c#;c++;java;javascript;.net;perl;powershell;python;react;react-redux;scala;typescript;wpf;xml;spring-boot;spring;azure-api-management;rest;devops;angular;sap-commerce-cloud
8,Inductive Automation,Folsom,java;python;sql;java;python;sql;git;swing;javafx;scrum;android;ios;ignition;agile;windows;linux;macos;vmware;tcp;websocket;http;html;css;reactjs;mysql;node.js;javascript;kotlin;groovy;npm
9,Schwarz IT KG,Sofia;Berlin;Bucharest,abap;sap;android;abap;sap;android;angularjs;go;bash;c#c++;dart;docker;golang;ios;java;javascript;kafka;kotlin;kubernetes;php;python;swift;typescript;vue.js;.net
10,Abbott,California;Bend;Orlando,go;react-native;reactjs;go;react-native;reactjs;amazon-web-services;c;c++;javascript;d3.js;nativescript;android;ios;python;java;kotlin;objective-c;swift;sql;oauth-2.0;openid;microservices;message-queue;kubernetes;docker;terraform;ansible;elastic-stack;infrastructure-as-code;security;cloud
11,Vertica,Cambridge;Pittsburgh,c;java;sql;c;java;sql;python;r;jupyter;machine-learning;assembly;distributed-system;cloud;hdfs;vertica;c++;data-science;scalability;time-series;geospatial;vertica-python;kubernetes;database-as-a-service
12,MongoDB,Paris;London;Barcelona,c++;c++17;go;c++;c++17;go;java;python;javascript;reactjs;typescript;mongodb;mongoose;mongodb-query;rust;swift;dart;kotlin;.net
13,National Security Agency,Augusta;San Antonio;Denver,java;c;c++;java;c;c++;angular;javascript;node.js
14,FINN,München,reactjs;yarn;webpack;reactjs;yarn;webpack;next.js;typescript;react-hooks;gitlab;gitlab-ci;jira;confluence;serverless;amazon-web-services;serverless-framework;python;node.js;express;flask;go;postman
