Nombre,Link,Pais,Reputacion,N_oro,N_plata,N_bronce
Jon Skeet,https://stackoverflow.com/users/22656/jon-skeet,Reading; United Kingdom,1380993,848,9035,9130
Gordon Linoff,https://stackoverflow.com/users/1144035/gordon-linoff,New York; United States,1223839,54,622,764
VonC,https://stackoverflow.com/users/6309/vonc,France,1184005,506,4238,5045
BalusC,https://stackoverflow.com/users/157882/balusc,Willemstad; Curaçao,1065230,369,3584,3535
Darin Dimitrov,https://stackoverflow.com/users/29407/darin-dimitrov,Sofia; Bulgaria,1011144,267,3269,2921
Martijn Pieters,https://stackoverflow.com/users/100297/martijn-pieters,Cambridge; UK,1008706,282,3956,3289
Marc Gravell,https://stackoverflow.com/users/23354/marc-gravell,Forest of Dean; United Kingdom,1004393,259,2526,2873
T.J. Crowder,https://stackoverflow.com/users/157247/t-j-crowder,United Kingdom,1002574,183,1863,1830
CommonsWare,https://stackoverflow.com/users/115145/commonsware,Pennsylvania; United States,973722,188,2352,2428
Greg Hewgill,https://stackoverflow.com/users/893/greg-hewgill,Christchurch; New Zealand,925112,180,1136,1273
Hans Passant,https://stackoverflow.com/users/17034/hans-passant,Madison; WI,911625,145,1668,2505
Quentin,https://stackoverflow.com/users/19068/quentin,United Kingdom,890346,122,1189,1309
SLaks,https://stackoverflow.com/users/34397/slaks,New Jersey,855328,175,1884,1953
akrun,https://stackoverflow.com/users/3732271/akrun,Not provided by the user,846947,36,507,627
paxdiablo,https://stackoverflow.com/users/14860/paxdiablo,Not provided by the user,836487,230,1558,1927
Alex Martelli,https://stackoverflow.com/users/95810/alex-martelli,Sunnyvale; CA,836246,165,1209,1388
unutbu,https://stackoverflow.com/users/190597/unutbu,Not provided by the user,815203,176,1750,1646
Mark Byers,https://stackoverflow.com/users/61974/mark-byers,Denmark,792942,188,1558,1442
Christian C. Salvadó,https://stackoverflow.com/users/5445/christian-c-salvad%c3%b3,Guatemala,792848,181,913,837
jezrael,https://stackoverflow.com/users/2901002/jezrael,Bratislava; Slovakia,786355,88,1260,1191
Felix Kling,https://stackoverflow.com/users/218196/felix-kling,Germany,780296,173,1079,1128
Ignacio Vazquez-Abrams,https://stackoverflow.com/users/20862/ignacio-vazquez-abrams,Not provided by the user,760947,151,1325,1346
anubhava,https://stackoverflow.com/users/548225/anubhava,Bangalore; India,745697,63,547,620
CB Bailey,https://stackoverflow.com/users/19563/cb-bailey,United Kingdom,730449,101,625,651
JaredPar,https://stackoverflow.com/users/23283/jaredpar,Redmond; WA,720633,147,1225,1447
marc_s,https://stackoverflow.com/users/13302/marc-s,Bern; Switzerland,720482,173,1320,1442
Jonathan Leffler,https://stackoverflow.com/users/15168/jonathan-leffler,Colorado; USA,716434,138,890,1255
Barmar,https://stackoverflow.com/users/1491895/barmar,Arlington; MA,714524,53,480,596
Sergey Kalinichenko,https://stackoverflow.com/users/335858/sergey-kalinichenko,United States,707318,81,1085,1503
Stephen C,https://stackoverflow.com/users/139985/stephen-c,Australia,686148,94,787,1197
BoltClock,https://stackoverflow.com/users/106224/boltclock,Singapore,685262,158,1371,1346
Guffa,https://stackoverflow.com/users/69083/guffa,Virsbo; Sweden,678558,108,728,999
JB Nizet,https://stackoverflow.com/users/571407/jb-nizet,Saint-Etienne; France,669678,88,1204,1238
jfriend00,https://stackoverflow.com/users/816620/jfriend00,Not provided by the user,665274,93,947,945
Eric Lippert,https://stackoverflow.com/users/88656/eric-lippert,Seattle; WA,640482,174,1229,2063
Gumbo,https://stackoverflow.com/users/53114/gumbo,Ulm; Germany,634113,107,770,839
Nick Craver,https://stackoverflow.com/users/13249/nick-craver,Winston-Salem; NC,618372,136,1293,1152
cletus,https://stackoverflow.com/users/18393/cletus,New York; New York; United States,609222,165,904,942
Bergi,https://stackoverflow.com/users/1048572/bergi,Not provided by the user,606946,142,937,1339
Günter Zöchbauer,https://stackoverflow.com/users/217408/g%c3%bcnter-z%c3%b6chbauer,Linz; Austria,596251,203,1968,1538
David Heffernan,https://stackoverflow.com/users/505088/david-heffernan,Ulverston; United Kingdom,595150,42,1051,1469
Wiktor Stribiżew,https://stackoverflow.com/users/3832970/wiktor-stribi%c5%bcew,Warsaw; Poland,594225,36,415,527
Bozho,https://stackoverflow.com/users/203907/bozho,Sofia; Bulgaria,581598,141,1052,1136
Daniel Roseman,https://stackoverflow.com/users/104349/daniel-roseman,London; United Kingdom,580165,62,856,865
Erwin Brandstetter,https://stackoverflow.com/users/939860/erwin-brandstetter,Vienna; Austria,575614,138,1033,1185
e-satis,https://stackoverflow.com/users/9951/e-satis,Not provided by the user,568325,110,295,328
Pascal Thivent,https://stackoverflow.com/users/70604/pascal-thivent,Not provided by the user,556726,134,1056,1119
Sven Marnach,https://stackoverflow.com/users/279627/sven-marnach,Preetz; Germany,555548,115,923,824
Reed Copsey,https://stackoverflow.com/users/65358/reed-copsey,Yarmouth; ME; USA,547526,78,1141,1363
Frank van Puffelen,https://stackoverflow.com/users/209103/frank-van-puffelen,San Francisco; CA,539485,73,795,776
a_horse_with_no_name,https://stackoverflow.com/users/330315/a-horse-with-no-name,Not provided by the user,533532,99,843,894
Remy Lebeau,https://stackoverflow.com/users/65863/remy-lebeau,United States,533496,30,442,748
nickf,https://stackoverflow.com/users/9021/nickf,Zürich; Switzerland,530501,198,647,721
Bill Karwin,https://stackoverflow.com/users/20860/bill-karwin,California,523182,85,650,812
